niche,keyword,region,timeframe,score,sources,seeds,source,score_norm
arte_diseno,tipografia graffiti,mx,now 7-d,70.0,gtrends_rising,tipografia,gtrends_rising,-0.09959034490135385
arte_diseno,tipografia de dia de muertos,mx,now 7-d,60.0,gtrends_rising,tipografia,gtrends_rising,-0.09964650351435572
arte_diseno,tipografia de minecraft,mx,now 7-d,60.0,gtrends_rising,tipografia,gtrends_rising,-0.09964650351435572
arte_diseno,tipografia terror,mx,now 7-d,60.0,gtrends_rising,tipografia,gtrends_rising,-0.09964650351435572
arte_diseno,branding pdf,mx,now 7-d,35.5,"gtrends_rising,gtrends_top",branding,gtrends_rising,-0.0997840921162103
arte_diseno,flores dibujo a lapiz,mx,now 7-d,21.0,gtrends_top,dibujo a lapiz,gtrends_top,-0.49445563956529565
arte_diseno,branding personal,mx,now 7-d,18.0,gtrends_top,branding,gtrends_top,-0.5940468800082872
arte_diseno,employer branding,mx,now 7-d,16.0,gtrends_top,branding,gtrends_top,-0.660441040303615
arte_diseno,mariposa dibujo a lapiz,mx,now 7-d,15.0,gtrends_top,dibujo a lapiz,gtrends_top,-0.6936381204512788
arte_diseno,branding digital,mx,now 7-d,10.0,gtrends_top,branding,gtrends_top,-0.8596235211895982
arte_diseno,flor dibujo a lapiz,mx,now 7-d,10.0,gtrends_top,dibujo a lapiz,gtrends_top,-0.8596235211895982
arte_diseno,branding significado,mx,now 7-d,9.0,gtrends_top,branding,gtrends_top,-0.892820601337262
arte_diseno,leon dibujo a lapiz,mx,now 7-d,9.0,gtrends_top,dibujo a lapiz,gtrends_top,-0.892820601337262
arte_diseno,girasoles dibujo a lapiz,mx,now 7-d,7.0,gtrends_top,dibujo a lapiz,gtrends_top,-0.9592147616325898
arte_diseno,tecnicas de dibujo a lapiz,mx,now 7-d,6.0,gtrends_top,dibujo a lapiz,gtrends_top,-0.9924118417802537
arte_diseno,jirafa dibujo a lapiz fácil,mx,now 7-d,5.0,gtrends_top,dibujo a lapiz,gtrends_top,-1.0256089219279174
arte_diseno,manzana dibujo a lapiz,mx,now 7-d,5.0,gtrends_top,dibujo a lapiz,gtrends_top,-1.0256089219279174
arte_diseno,branding iron,us,now 7-d,100.0,gtrends_top,branding,gtrends_top,2.130953782468822
arte_diseno,the color theory,us,now 7-d,100.0,gtrends_top,color theory,gtrends_top,2.130953782468822
arte_diseno,tipografia de letras,us,now 7-d,100.0,gtrends_top,tipografia,gtrends_top,2.130953782468822
arte_diseno,what is branding,us,now 7-d,100.0,gtrends_top,branding,gtrends_top,2.130953782468822
arte_diseno,brand,us,now 7-d,90.0,gtrends_top,branding,gtrends_top,1.7893434599534468
arte_diseno,branding company,us,now 7-d,67.0,gtrends_top,branding,gtrends_top,1.003639718168084
arte_diseno,what is color theory,us,now 7-d,62.0,gtrends_top,color theory,gtrends_top,0.8328345569103965
arte_diseno,personal branding,us,now 7-d,58.0,gtrends_top,branding,gtrends_top,0.6961904279042465
arte_diseno,tipografia cursiva elegante,us,now 7-d,38255.0,"gtrends_rising,gtrends_top",tipografia,gtrends_rising,0.673028529764417
arte_diseno,branding design,us,now 7-d,57.0,gtrends_top,branding,gtrends_top,0.662029395652709
arte_diseno,branding agency,us,now 7-d,53.0,gtrends_top,branding,gtrends_top,0.5253852666465589
arte_diseno,what is the color theory,us,now 7-d,53.0,gtrends_top,color theory,gtrends_top,0.5253852666465589
arte_diseno,business branding,us,now 7-d,48.0,gtrends_top,branding,gtrends_top,0.3545801053888714
arte_diseno,marketing and branding,us,now 7-d,45.0,gtrends_top,branding,gtrends_top,0.2520970086342589
arte_diseno,tipografia do conto,us,now 7-d,224.0,"gtrends_rising,gtrends_top",tipografia,gtrends_rising,-0.10722756274796098
arte_diseno,big t branding,us,now 7-d,150.0,gtrends_rising,branding,gtrends_rising,-0.10874577028512583
arte_diseno,branding style guides,us,now 7-d,130.0,gtrends_rising,branding,gtrends_rising,-0.10915609664652173
arte_diseno,dafont,us,now 7-d,96.0,"gtrends_rising,gtrends_top",tipografia,gtrends_rising,-0.10985365146089476
arte_diseno,color theory basics,us,now 7-d,80.0,gtrends_rising,color theory,gtrends_rising,-0.11018191255001149
arte_diseno,josef albers color theory,us,now 7-d,70.0,gtrends_rising,color theory,gtrends_rising,-0.11038707573070944
arte_diseno,branding in seongsu,us,now 7-d,60.0,gtrends_rising,branding,gtrends_rising,-0.11059223891140739
arte_diseno,branding iron supper club,us,now 7-d,50.0,gtrends_rising,branding,gtrends_rising,-0.11079740209210534
arte_diseno,brewery branding,us,now 7-d,50.0,gtrends_rising,branding,gtrends_rising,-0.11079740209210534
