videoId,title,region,niche,content_type,views,likes,comments,engagement_rate,seconds,publishedAt,categoryTitle,tags,source
PoaJ-7iMMCs,Maquillaje suave para un evento en el día #makeup #makeuptutorial,GL,belleza,Shorts,192072,0,34,0.0001770169519763,60.0,2023-03-24T00:44:21Z,,,yt_search
5_lug5EeV8I,Rutina básica de skincare para hombres 😏✨ #parati #skincare #fypシ゚viral #foryoupage,GL,belleza,Shorts,186984,3110,21,0.0167447482137509,14.0,2024-08-05T12:02:08Z,,,yt_search
p55DWVfR8so,Mi rutina de skincare de día para tener la piel perfecta ✨,GL,belleza,Shorts,176851,13489,52,0.07656727980051,33.0,2023-08-08T03:23:17Z,,,yt_search
auvhVjUX2iM,Rutina SkinCare del #mercadona,GL,belleza,Shorts,174714,2598,19,0.0149787652964273,13.0,2023-08-25T18:00:02Z,,,yt_search
wTxtbrYCnyQ,Sabés cuál es el mejor shampoo para tu cabello? #haircare,GL,belleza,Shorts,165975,7826,45,0.0474228046392529,54.0,2024-06-02T19:38:25Z,,,yt_search
5CPscr99cl4,"Mascarillas Económicas Para el Cabello Seco, del Supermercado.",GL,belleza,Shorts,164353,0,36,0.0002190407233211,15.0,2022-11-02T06:15:41Z,,,yt_search
4_noMrPfIsw,RUTINA DE CABELLO | cuida tu cabello como un profesional,GL,belleza,Video,151604,7693,207,0.0521094430226115,595.0,2024-05-30T15:37:40Z,,"arma tu rutina capilar,arma tu rutina de cabello con este video,como cuudar el cabello,cuida tu cabello con esta rutina,mi rutina de pelo,rutina capilar,rutina capilar como un profesional,rutina completa para un cabello fabuloso,rutina completa para un cabello sano,rutina de cabello,rutina de cabello 🎀 ✨ lo que necesitas para un cabello bonito,rutina de cuidado capilar,rutina de cuidado de cabello,rutina de cuidado de pelo",yt_search
ZUyNAzQ0lyI,Rutina de SkinCare para Hombres😱🧼. Suscribete para más consejos. #skincare,GL,belleza,Shorts,142749,4322,36,0.0305291105366762,20.0,2023-06-14T14:10:36Z,,,yt_search
16iy6m7zqz4,⊹₊｡ everyday makeup look ˚₊⊹ : tutorial,GL,belleza,Video,142031,9096,100,0.064746428596574,652.0,2024-10-12T01:00:01Z,,,yt_search
x5ZDJUVN0Qo,"Ampollas para la caída de cabello, crecimiento, anti frizz, y nutrición",GL,belleza,Shorts,134873,2279,74,0.0174460418319456,18.0,2023-09-12T19:08:52Z,,,yt_search
opVHFWstv-M,la rutina perfecta para tener un pelo largo y fuerte 🎀 productos favs y errores que no debes cometer,GL,belleza,Video,131050,5432,118,0.0423502479969477,814.0,2024-06-02T16:00:45Z,,"aceites para el pelo,curly girl method,cómo conseguir tener el pelo largo,cómo hacer el curly girl method,cómo hacer que brille más el pelo,cómo me cuido el cabello,cómo tener el pelo sano,cómo tener un pelo fuerte y sano,hair routine,mi experiencia probando el oiling routine,mi rutina de pelo,oiling hair routine,oiling routine,oiling routine cómo empezar,oiling routine qué aceites utilizar,oiling routine resultados,productos favoritos oiling,rutina de pelo",yt_search
NlkhtFleHzc,On the Glow de Studio Look! Glow natural por 13 horas! 🤩🤩,GL,belleza,Shorts,128246,3019,15,0.0236576579386491,16.0,2023-07-11T15:00:25Z,,"chavas,chicas,cyzone,look,make up,maquillaje,moda",yt_search
Lb3OBi57Sng,orden para aplicar un skincare básico 🤍,GL,belleza,Shorts,127597,2393,17,0.0188875914010517,15.0,2021-09-24T02:35:37Z,,,yt_search
P2qbBU0iLYw,3 TIPS para cuidar tu pelo DAÑADO/DECOLORADO,GL,belleza,Shorts,106762,0,14,0.0001311328000599,37.0,2023-01-28T15:00:15Z,,"cabello dañado,cabello decolorado,cabello maltratado,cabello platinado,cabello rubio,cabello saludable,cabello sano,cabello seco,como cuidar tu cabello,cuidado capilar,cuidado del cabello,cuidados del cabello,pelo dañado,pelo decolorado,pelo largo,pelo maltratado,pelo platinado,pelo rubio,pelo sano,puntas abiertas,tips cabello",yt_search
7TNydKbeksU,Champú para la caspa: Dermatóloga escoge #dermatologa #hairtips #cabello #cuidadodelcabello #derma,GL,belleza,Shorts,101106,3353,60,0.0337566514351274,58.0,2024-07-25T18:29:39Z,,,yt_search
98Fj7lERvCg,Rutina capilar para un cabello sedoso #haircare,GL,belleza,Video,99738,6341,104,0.0646193025727405,117.0,2025-05-07T21:18:03Z,,,yt_search
Sdi1v2HV4h4,Rutina de skinCare para 40's y un poco más 👸🏻,GL,belleza,Video,90580,3863,142,0.0442150585118127,756.0,2023-06-15T20:11:34Z,,"#analizoturutina,#asmr,#cuidadosfaciales,#derma,#dermatologa,#dermatologia,#drapascali,#rutinadedia,#rutinadenoche,#rutinadeskincare,#skincare,#skincareasmr,#skincareroutine",yt_search
f2nbhFvy5Ws,Mi RUTINA de SKINCARE de DÍA ☀️ CLODETT,GL,belleza,Shorts,87089,0,22,0.0002526151408329,13.0,2024-07-21T13:09:42Z,,,yt_search
8FUJLCwO86M,"Para la oficina o cualquier ocasión en la que necesites un maquillaje rápido, natural y bonito ❤️",GL,belleza,Shorts,81259,4530,50,0.0563629874844632,42.0,2024-10-09T16:07:55Z,,,yt_search
ZDKg62vvmIc,Orden correcto de la rutina de skin care,GL,belleza,Video,72870,5249,150,0.0740908467133251,520.0,2024-05-28T17:43:29Z,,,yt_search
v6sZGST8npo,MAQUILLAJE NATURAL: TUTORIAL PASO A PASO | TUMAKEUP,GL,belleza,Video,70857,4165,180,0.0613206881465486,1117.0,2020-10-02T12:00:14Z,,"andrea curto,consejos de maquillaje,escuela de maquillaje online,escuela online de maquillaje,maquilladora profesional,maquillaje profesional,maquilleje online,tips de maquillaje,tumakeup",yt_search
RRUuKlMAAoc,¿Tu cabello está seco y dañado? Prueba estos tips de dermatóloga,GL,belleza,Video,66848,2324,75,0.0358873863092388,539.0,2025-05-16T13:30:33Z,,"cabello dañado,cabello dañado como repararlo,cabello reseco como hidratarlo,cabello reseco y esponjado,cabello seco y maltratado,como reparar las puntas abiertas del cabello sin cortarlo,como reparar las puntas abiertas y secas,consejos dermatologicos para el cabello,consejos para recuperar tu cabello,cuida tu cabello como un profesional,puntas abiertas como reparar,recuepera tu cabello dañado,recupera tu cabello dañado,recuperar mi cabello,rutina capilar",yt_search
eFWh5Y840CA,Cómo saber tu tipo de cabello? Guía completa y fácil | APRENDE A CUIDARLO CÓMO UN PROFESIONAL,GL,belleza,Video,66310,2769,110,0.0434172824611672,578.0,2024-07-18T16:21:53Z,,"aprende a cuidar tu cabello como un profesional,como cuidar el cabello fino,tipos de cabello,tipos de cabello afro cuidalo como profesional,tipos de cabello como cuidarlo,tipos de cabello cuidalo como un profesional,tipos de cabello fino cuidados profesionales,tipos de cabello largo cuidalo como profesional,tipos de cabello liso cuidalo como profesional,tipos de cabellos cortos cuidalo como profesional,tipos de cabeloo con rizos cuidados profesionales",yt_search
WY0KMsOO4K8,RUTINA SKINCARE MINIMALISTA piel madura: 3 productos que rejuvenecen,GL,belleza,Video,65572,3261,168,0.052293661928872,170.0,2025-07-29T18:52:42Z,,"cuidado de la piel,cuidado facial,cuidado facial 50 años,cuidado facial mujeres maduras,esther gaya,piel hermosa a los 50,piel luminosa madura,piel madura,péptidos de cobre piel,péptidos vs retinol,rutina antiedad minimalista,rutina facial minimalista,rutina facial piel madura,rutina piel madura,rutina piel seca madura,rutina sin retinol,rutina skincare minimalista,rutina skincare piel madura,skincare,skincare +50 años,skincare piel madura",yt_search
